,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
166,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,9,25,3,
165,RF,0.25,0.6183333333333334,1.0,0.25314137464183045,,False,,,,9,25,2,
7,AB,0.25,0.6666666666666667,1.0,0.2202271554554524,,,,,1.5,,,,200
162,RF,0.25,0.6566666666666667,1.0,0.20925794820959345,,False,,,,9,20,5,
156,RF,0.25,0.665,1.0,0.18670386534116892,,True,,,,,40,3,
161,RF,0.25,0.5983333333333334,1.0,0.22894079778162932,,False,,,,9,20,3,
160,RF,0.25,0.6116666666666667,1.0,0.2039948256424385,,False,,,,9,20,2,
159,RF,0.25,0.6433333333333333,1.0,0.25256462319352824,,True,,,,,40,10,
8,AB,0.5,0.6966666666666667,1.0,0.17204650534085253,,,,,1.5,,,,250
9,AB,0.5,0.6916666666666667,1.0,0.18246004128758347,,,,,1.5,,,,300
10,AB,0.25,0.605,1.0,0.20317616876876962,,,,,2.0,,,,100
11,AB,0.25,0.6133333333333334,1.0,0.18223915910448862,,,,,2.0,,,,150
170,RF,0.25,0.6316666666666666,1.0,0.21153539236312732,,False,,,,9,30,2,
171,RF,0.25,0.6316666666666666,1.0,0.21153539236312732,,False,,,,9,30,3,
172,RF,0.25,0.6766666666666666,1.0,0.23048258550750036,,False,,,,9,30,5,
173,RF,0.25,0.6183333333333334,1.0,0.25314137464183045,,False,,,,9,30,7,
2,AB,0.4,0.71,1.0,0.21540659228538014,,,,,1.0,,,,200
185,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,5,20,2,
184,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,9,40,10,
183,RF,0.25,0.6566666666666667,1.0,0.20925794820959345,,False,,,,9,40,7,
182,RF,0.25,0.6316666666666667,1.0,0.21153539236312732,,False,,,,9,40,5,
181,RF,0.25,0.6566666666666667,1.0,0.20925794820959345,,False,,,,9,40,3,
180,RF,0.25,0.6233333333333333,1.0,0.23048258550750036,,False,,,,9,40,2,
