,estimator,min_score,mean_score,max_score,std_score,C,bootstrap,gamma,kernel,learning_rate,max_depth,max_features,min_samples_split,n_estimators
224,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,3,30,10,
222,RF,0.25,0.5933333333333334,1.0,0.2908034846191955,,False,,,,3,30,5,
221,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,3,30,3,
220,RF,0.25,0.5933333333333334,1.0,0.2908034846191955,,False,,,,3,30,2,
219,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,3,25,10,
218,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,3,25,7,
233,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,3,40,7,
235,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,2,20,2,
251,RF,0.25,0.565,1.0,0.2192727879960383,,False,,,,2,35,3,
244,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,2,25,10,
250,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,35,2,
249,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,30,10,
248,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,30,7,
247,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,30,5,
246,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,2,30,3,
245,RF,0.25,0.6433333333333333,1.0,0.26969118141558385,,False,,,,2,30,2,
243,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,25,7,
236,RF,0.25,0.6183333333333334,1.0,0.2924465763177952,,False,,,,2,20,3,
242,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,25,5,
241,RF,0.25,0.6100000000000001,1.0,0.24280765135299084,,False,,,,2,25,3,
240,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,2,25,2,
239,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,2,20,10,
238,RF,0.25,0.5850000000000001,1.0,0.2647273230241933,,False,,,,2,20,7,
